PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
1,Phyllospadix,Control,6/16/19 0:01,10.21,0,0.15
1,Phyllospadix,Control,6/16/19 0:16,10.08,0,0.15
1,Phyllospadix,Control,6/16/19 0:31,10.16,0,0.15
1,Phyllospadix,Control,6/16/19 0:46,10.12,0,0.15
1,Phyllospadix,Control,6/16/19 1:01,10.08,0,0.15
1,Phyllospadix,Control,6/16/19 1:16,10.08,0,0.15
1,Phyllospadix,Control,6/16/19 1:31,10.04,0,0.15
1,Phyllospadix,Control,6/16/19 1:46,10.04,0,0.15
1,Phyllospadix,Control,6/16/19 2:01,9.95,0,0.15
1,Phyllospadix,Control,6/16/19 2:16,9.56,0,0.15
1,Phyllospadix,Control,6/16/19 2:31,9.44,0,0.15
1,Phyllospadix,Control,6/16/19 2:46,9.44,0,0.15
1,Phyllospadix,Control,6/16/19 3:01,9.52,0,0.15
1,Phyllospadix,Control,6/16/19 3:16,9.56,0,0.15
1,Phyllospadix,Control,6/16/19 3:31,9.65,0,0.15
1,Phyllospadix,Control,6/16/19 3:46,9.61,0,0.15
1,Phyllospadix,Control,6/16/19 4:01,9.69,0,0.15
1,Phyllospadix,Control,6/16/19 4:16,9.69,0,0.15
1,Phyllospadix,Control,6/16/19 4:31,9.65,0,0.15
1,Phyllospadix,Control,6/16/19 4:46,9.69,0,0.15
1,Phyllospadix,Control,6/16/19 5:01,9.69,0,0.15
1,Phyllospadix,Control,6/16/19 5:16,9.69,1,0.15
1,Phyllospadix,Control,6/16/19 5:31,9.69,4,0.15
1,Phyllospadix,Control,6/16/19 5:46,9.69,8,0.15
1,Phyllospadix,Control,6/16/19 6:01,9.78,14,0.15
1,Phyllospadix,Control,6/16/19 6:16,9.78,21,0.15
1,Phyllospadix,Control,6/16/19 6:31,9.82,34,0.15
1,Phyllospadix,Control,6/16/19 6:46,9.86,45,0.15
1,Phyllospadix,Control,6/16/19 7:01,9.86,63,0.15
1,Phyllospadix,Control,6/16/19 7:16,9.95,67,0.15
1,Phyllospadix,Control,6/16/19 7:31,9.95,135,0.15
1,Phyllospadix,Control,6/16/19 7:46,10.16,378,0.15
1,Phyllospadix,Control,6/16/19 8:01,10.46,444,0.15
