Date.Time,OceanTemp.C
6/23/19 17:00,9.138888889
6/23/19 18:00,8.965
6/23/19 19:00,8.792222222
6/23/19 20:00,9.853888889
6/23/19 21:00,9.805
6/23/19 22:00,9.557777778
6/23/19 23:00,9.237777778
6/24/19 0:00,8.841111111
6/24/19 1:00,8.717222222
6/24/19 2:00,8.567777778
6/24/19 3:00,8.295
6/24/19 4:00,8.717222222
6/24/19 5:00,8.617777778
6/24/19 6:00,8.468888889
6/24/19 7:00,8.368888889
6/24/19 8:00,8.767222222
6/24/19 9:00,9.632222222
6/24/19 10:00,9.262222222
6/24/19 11:00,8.443888889
6/24/19 12:00,8.542777778
6/24/19 13:00,8.692777778
6/24/19 14:00,9.828888889
6/24/19 15:00,9.435
6/24/19 16:00,9.828888889
6/24/19 17:00,9.212777778
6/24/19 18:00,9.063888889
6/24/19 19:00,8.941111111
6/24/19 20:00,8.592777778
6/24/19 21:00,9.853888889
6/24/19 22:00,9.878888889
6/24/19 23:00,9.682222222
6/25/19 0:00,9.361111111
6/25/19 1:00,9.237777778
6/25/19 2:00,8.99
6/25/19 3:00,8.866111111
6/25/19 4:00,8.667777778
6/25/19 5:00,8.916111111
6/25/19 6:00,8.767222222
6/25/19 7:00,8.99
6/25/19 8:00,9.41
6/25/19 9:00,9.927777778
6/25/19 10:00,10.17277778
6/25/19 11:00,10.00111111
6/25/19 12:00,9.828888889
6/25/19 13:00,9.756111111
6/25/19 14:00,9.607777778
6/25/19 15:00,9.582777778
6/25/19 16:00,9.312222222
6/25/19 17:00,9.361111111
6/25/19 18:00,9.607777778
6/25/19 19:00,9.607777778
6/25/19 20:00,9.805
6/25/19 21:00,9.706111111
6/25/19 22:00,9.657222222
6/25/19 23:00,9.657222222
6/26/19 0:00,9.952222222
6/26/19 1:00,9.927777778
6/26/19 2:00,9.805
6/26/19 3:00,9.682222222
6/26/19 4:00,9.682222222
6/26/19 5:00,9.706111111
6/26/19 6:00,9.557777778
6/26/19 7:00,9.508888889
6/26/19 8:00,9.582777778
6/26/19 9:00,9.435
6/26/19 10:00,9.386111111
6/26/19 11:00,9.756111111
6/26/19 12:00,9.78
6/26/19 13:00,10.41777778
6/26/19 14:00,10.22222222
6/26/19 15:00,10.12388889
6/26/19 16:00,10.12388889
6/26/19 17:00,10.05111111
6/26/19 18:00,9.878888889
6/26/19 19:00,10.00111111
6/26/19 20:00,9.78
6/26/19 21:00,9.977222222
6/26/19 22:00,10.76111111
6/26/19 23:00,10.88277778
6/27/19 0:00,10.81
6/27/19 1:00,10.63777778
6/27/19 2:00,10.63777778
6/27/19 3:00,10.59
6/27/19 4:00,10.68722222
6/27/19 5:00,10.76111111
6/27/19 6:00,11.175
6/27/19 7:00,11.24777778
6/27/19 8:00,11.44277778
6/27/19 9:00,11.37
6/27/19 10:00,11.49222222
6/27/19 11:00,11.39388889
6/27/19 12:00,11.61277778
6/27/19 13:00,11.71
6/27/19 14:00,11.66222222
6/27/19 15:00,11.63722222
6/27/19 16:00,11.63722222
6/27/19 17:00,11.68611111
6/27/19 18:00,11.63722222
6/27/19 19:00,11.61277778
6/27/19 20:00,11.71
6/27/19 21:00,11.66222222
6/27/19 22:00,11.61277778
6/27/19 23:00,11.63722222
6/28/19 0:00,11.66222222
6/28/19 1:00,11.71
6/28/19 2:00,11.58888889
6/28/19 3:00,11.51611111
6/28/19 4:00,11.54
6/28/19 5:00,11.68611111
6/28/19 6:00,11.71
6/28/19 7:00,11.73388889
6/28/19 8:00,11.97722222
6/28/19 9:00,11.90388889
6/28/19 10:00,12.17111111
