PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
9,Mytilus,Control,6/16/19 0:09,9.35,0,0.125
9,Mytilus,Control,6/16/19 0:24,9.26,0,0.125
9,Mytilus,Control,6/16/19 0:39,9.22,0,0.125
9,Mytilus,Control,6/16/19 0:54,9.09,0,0.125
9,Mytilus,Control,6/16/19 1:09,9.22,0,0.125
9,Mytilus,Control,6/16/19 1:24,9.09,0,0.125
9,Mytilus,Control,6/16/19 1:39,9.01,0,0.125
9,Mytilus,Control,6/16/19 1:54,9.14,0,0.125
9,Mytilus,Control,6/16/19 2:09,9.09,0,0.125
9,Mytilus,Control,6/16/19 2:24,9.14,0,0.125
9,Mytilus,Control,6/16/19 2:39,9.26,0,0.125
9,Mytilus,Control,6/16/19 2:54,9.35,0,0.125
9,Mytilus,Control,6/16/19 3:09,9.35,0,0.125
9,Mytilus,Control,6/16/19 3:24,9.35,0,0.125
9,Mytilus,Control,6/16/19 3:39,9.35,0,0.125
9,Mytilus,Control,6/16/19 3:54,9.39,0,0.125
9,Mytilus,Control,6/16/19 4:09,9.39,0,0.125
9,Mytilus,Control,6/16/19 4:24,9.39,0,0.125
9,Mytilus,Control,6/16/19 4:39,9.39,0,0.125
9,Mytilus,Control,6/16/19 4:54,9.44,1,0.125
9,Mytilus,Control,6/16/19 5:09,9.39,13,0.125
9,Mytilus,Control,6/16/19 5:24,9.44,95,0.125
9,Mytilus,Control,6/16/19 5:39,9.48,339,0.125
9,Mytilus,Control,6/16/19 5:54,9.48,646,0.125
9,Mytilus,Control,6/16/19 6:09,9.99,"1,035",0.125
9,Mytilus,Control,6/16/19 6:24,10.08,"1,313",0.125
9,Mytilus,Control,6/16/19 6:39,10.16,"1,824",0.125
9,Mytilus,Control,6/16/19 6:54,10.21,"2,223",0.125
9,Mytilus,Control,6/16/19 7:09,10.38,"2,017",0.125
9,Mytilus,Control,6/16/19 7:24,10.46,"1,617",0.125
9,Mytilus,Control,6/16/19 7:39,10.46,"2,155",0.125
9,Mytilus,Control,6/16/19 7:54,10.64,"2,683",0.125
9,Mytilus,Control,6/16/19 8:09,11.07,"2,857",0.125
9,Mytilus,Control,6/16/19 8:24,11.15,"1,789",0.125
9,Mytilus,Control,6/16/19 8:39,10.89,"2,836",0.125
9,Mytilus,Control,6/16/19 8:54,14.88,"34,785",0.125
9,Mytilus,Control,6/16/19 9:09,17.93,"39,250",0.125
9,Mytilus,Control,6/16/19 9:24,13.9,"32,584",0.125
9,Mytilus,Control,6/16/19 9:39,11.32,"21,105",0.125
9,Mytilus,Control,6/16/19 9:54,10.29,"28,047",0.125
9,Mytilus,Control,6/16/19 10:09,9.56,172,0.125
9,Mytilus,Control,6/16/19 10:24,9.74,"29,583",0.125
9,Mytilus,Control,6/16/19 10:39,9.48,"18,944",0.125
9,Mytilus,Control,6/16/19 10:54,9.18,"23,276",0.125
9,Mytilus,Control,6/16/19 11:09,9.26,"12,524",0.125
9,Mytilus,Control,6/16/19 11:24,9.35,"24,084",0.125
9,Mytilus,Control,6/16/19 11:39,9.52,"7,839",0.125
9,Mytilus,Control,6/16/19 11:54,9.65,"14,464",0.125
9,Mytilus,Control,6/16/19 12:09,9.78,"9,242",0.125
9,Mytilus,Control,6/16/19 12:24,9.91,"13,773",0.125
9,Mytilus,Control,6/16/19 12:39,10.08,"38,318",0.125
9,Mytilus,Control,6/16/19 12:54,9.95,"19,405",0.125
9,Mytilus,Control,6/16/19 13:09,10.08,"18,289",0.125
9,Mytilus,Control,6/16/19 13:24,10.21,"18,447",0.125
9,Mytilus,Control,6/16/19 13:39,10.25,"13,604",0.125
9,Mytilus,Control,6/16/19 13:54,10.29,"6,702",0.125
9,Mytilus,Control,6/16/19 14:09,10.34,"7,511",0.125
9,Mytilus,Control,6/16/19 14:24,10.16,"7,250",0.125
9,Mytilus,Control,6/16/19 14:39,10.21,"8,676",0.125
9,Mytilus,Control,6/16/19 14:54,10.29,"21,514",0.125
9,Mytilus,Control,6/16/19 15:09,10.34,"10,337",0.125
