PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
14,Mytilus,Control,6/16/19 0:11,9.44,0,0.17
14,Mytilus,Control,6/16/19 0:26,9.39,0,0.17
14,Mytilus,Control,6/16/19 0:41,9.31,0,0.17
14,Mytilus,Control,6/16/19 0:56,9.26,0,0.17
14,Mytilus,Control,6/16/19 1:11,9.26,0,0.17
14,Mytilus,Control,6/16/19 1:26,9.05,0,0.17
14,Mytilus,Control,6/16/19 1:41,9.05,0,0.17
14,Mytilus,Control,6/16/19 1:56,9.14,0,0.17
14,Mytilus,Control,6/16/19 2:11,9.09,0,0.17
14,Mytilus,Control,6/16/19 2:26,9.14,0,0.17
14,Mytilus,Control,6/16/19 2:41,9.26,0,0.17
14,Mytilus,Control,6/16/19 2:56,9.31,0,0.17
14,Mytilus,Control,6/16/19 3:11,9.39,0,0.17
14,Mytilus,Control,6/16/19 3:26,9.44,0,0.17
14,Mytilus,Control,6/16/19 3:41,9.48,0,0.17
14,Mytilus,Control,6/16/19 3:56,9.48,0,0.17
14,Mytilus,Control,6/16/19 4:11,9.52,0,0.17
14,Mytilus,Control,6/16/19 4:26,9.48,0,0.17
14,Mytilus,Control,6/16/19 4:41,9.48,0,0.17
14,Mytilus,Control,6/16/19 4:56,9.48,0,0.17
14,Mytilus,Control,6/16/19 5:11,9.56,7,0.17
14,Mytilus,Control,6/16/19 5:26,9.56,44,0.17
14,Mytilus,Control,6/16/19 5:41,9.56,153,0.17
14,Mytilus,Control,6/16/19 5:56,9.65,306,0.17
14,Mytilus,Control,6/16/19 6:11,9.65,482,0.17
14,Mytilus,Control,6/16/19 6:26,9.69,726,0.17
14,Mytilus,Control,6/16/19 6:41,9.74,692,0.17
14,Mytilus,Control,6/16/19 6:56,9.74,872,0.17
14,Mytilus,Control,6/16/19 7:11,9.74,724,0.17
14,Mytilus,Control,6/16/19 7:26,9.78,776,0.17
14,Mytilus,Control,6/16/19 7:41,9.82,780,0.17
14,Mytilus,Control,6/16/19 7:56,9.78,815,0.17
14,Mytilus,Control,6/16/19 8:11,9.82,870,0.17
14,Mytilus,Control,6/16/19 8:26,9.86,910,0.17
14,Mytilus,Control,6/16/19 8:41,9.86,955,0.17
14,Mytilus,Control,6/16/19 8:56,9.91,"1,020",0.17
14,Mytilus,Control,6/16/19 9:11,9.95,"1,093",0.17
14,Mytilus,Control,6/16/19 9:26,9.95,"1,173",0.17
14,Mytilus,Control,6/16/19 9:41,9.18,"1,796",0.17
14,Mytilus,Control,6/16/19 9:56,8.92,840,0.17
14,Mytilus,Control,6/16/19 10:11,9.01,"1,342",0.17
14,Mytilus,Control,6/16/19 10:26,8.96,753,0.17
14,Mytilus,Control,6/16/19 10:41,8.96,"3,078",0.17
14,Mytilus,Control,6/16/19 10:56,8.96,"3,658",0.17
14,Mytilus,Control,6/16/19 11:11,9.05,"3,040",0.17
14,Mytilus,Control,6/16/19 11:26,9.18,"2,397",0.17
14,Mytilus,Control,6/16/19 11:41,9.39,"16,379",0.17
14,Mytilus,Control,6/16/19 11:56,9.48,"2,343",0.17
14,Mytilus,Control,6/16/19 12:11,9.61,"4,504",0.17
14,Mytilus,Control,6/16/19 12:26,9.74,"10,583",0.17
14,Mytilus,Control,6/16/19 12:41,9.61,"2,317",0.17
14,Mytilus,Control,6/16/19 12:56,9.74,"8,840",0.17
14,Mytilus,Control,6/16/19 13:11,9.78,"6,717",0.17
14,Mytilus,Control,6/16/19 13:26,9.95,"5,279",0.17
14,Mytilus,Control,6/16/19 13:41,9.91,"7,841",0.17
14,Mytilus,Control,6/16/19 13:56,9.99,"3,343",0.17
14,Mytilus,Control,6/16/19 14:11,10.08,"5,110",0.17
14,Mytilus,Control,6/16/19 14:26,9.99,"3,560",0.17
14,Mytilus,Control,6/16/19 14:41,10.12,"7,122",0.17
14,Mytilus,Control,6/16/19 14:56,10.16,"8,246",0.17
14,Mytilus,Control,6/16/19 15:11,10.29,"6,605",0.17
14,Mytilus,Control,6/16/19 15:26,10.38,"11,392",0.17
14,Mytilus,Control,6/16/19 15:41,10.51,"3,523",0.17
14,Mytilus,Control,6/16/19 15:56,10.72,"8,463",0.17
14,Mytilus,Control,6/16/19 16:11,10.77,"4,704",0.17
14,Mytilus,Control,6/16/19 16:26,10.89,"3,085",0.17
14,Mytilus,Control,6/16/19 16:41,10.98,219,0.17
14,Mytilus,Control,6/16/19 16:56,11.07,"6,612",0.17
14,Mytilus,Control,6/16/19 17:11,11.19,"6,881",0.17
14,Mytilus,Control,6/16/19 17:26,11.28,"6,152",0.17
14,Mytilus,Control,6/16/19 17:41,11.41,"6,124",0.17
14,Mytilus,Control,6/16/19 17:56,11.28,"2,568",0.17
