PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
29,Phyllospadix,Control,6/16/19 0:07,9.22,0,0.125
29,Phyllospadix,Control,6/16/19 0:22,9.09,0,0.125
29,Phyllospadix,Control,6/16/19 0:37,9.09,0,0.125
29,Phyllospadix,Control,6/16/19 0:52,8.96,0,0.125
29,Phyllospadix,Control,6/16/19 1:07,9.01,0,0.125
29,Phyllospadix,Control,6/16/19 1:22,9.01,0,0.125
29,Phyllospadix,Control,6/16/19 1:37,8.92,0,0.125
29,Phyllospadix,Control,6/16/19 1:52,8.96,0,0.125
29,Phyllospadix,Control,6/16/19 2:07,9.05,0,0.125
29,Phyllospadix,Control,6/16/19 2:22,9.09,0,0.125
29,Phyllospadix,Control,6/16/19 2:37,9.09,0,0.125
29,Phyllospadix,Control,6/16/19 2:52,9.14,0,0.125
29,Phyllospadix,Control,6/16/19 3:07,9.18,0,0.125
29,Phyllospadix,Control,6/16/19 3:22,9.26,0,0.125
29,Phyllospadix,Control,6/16/19 3:37,9.39,0,0.125
29,Phyllospadix,Control,6/16/19 3:52,9.44,0,0.125
29,Phyllospadix,Control,6/16/19 4:07,9.48,0,0.125
29,Phyllospadix,Control,6/16/19 4:22,9.48,0,0.125
29,Phyllospadix,Control,6/16/19 4:37,9.52,0,0.125
29,Phyllospadix,Control,6/16/19 4:52,9.56,0,0.125
29,Phyllospadix,Control,6/16/19 5:07,9.61,3,0.125
29,Phyllospadix,Control,6/16/19 5:22,9.69,24,0.125
29,Phyllospadix,Control,6/16/19 5:37,9.69,91,0.125
29,Phyllospadix,Control,6/16/19 5:52,9.65,196,0.125
29,Phyllospadix,Control,6/16/19 6:07,9.74,349,0.125
29,Phyllospadix,Control,6/16/19 6:22,9.82,515,0.125
29,Phyllospadix,Control,6/16/19 6:37,9.86,753,0.125
29,Phyllospadix,Control,6/16/19 6:52,9.91,624,0.125
29,Phyllospadix,Control,6/16/19 7:07,9.99,699,0.125
29,Phyllospadix,Control,6/16/19 7:22,10.08,"1,020",0.125
29,Phyllospadix,Control,6/16/19 7:37,10.25,"1,224",0.125
29,Phyllospadix,Control,6/16/19 7:52,10.46,"1,390",0.125
29,Phyllospadix,Control,6/16/19 8:07,10.59,"1,702",0.125
29,Phyllospadix,Control,6/16/19 8:22,10.81,"2,378",0.125
29,Phyllospadix,Control,6/16/19 8:37,11.07,"3,155",0.125
29,Phyllospadix,Control,6/16/19 8:52,11.37,"2,958",0.125
29,Phyllospadix,Control,6/16/19 9:07,11.71,"2,228",0.125
29,Phyllospadix,Control,6/16/19 9:22,12.1,"2,582",0.125
29,Phyllospadix,Control,6/16/19 9:37,12.57,"3,206",0.125
29,Phyllospadix,Control,6/16/19 9:52,12.05,"4,781",0.125
29,Phyllospadix,Control,6/16/19 10:07,10.55,"3,405",0.125
29,Phyllospadix,Control,6/16/19 10:22,9.22,"3,640",0.125
29,Phyllospadix,Control,6/16/19 10:37,9.26,"3,466",0.125
29,Phyllospadix,Control,6/16/19 10:52,9.31,"8,061",0.125
29,Phyllospadix,Control,6/16/19 11:07,9.35,"5,816",0.125
29,Phyllospadix,Control,6/16/19 11:22,9.48,"28,037",0.125
29,Phyllospadix,Control,6/16/19 11:37,9.31,"6,472",0.125
29,Phyllospadix,Control,6/16/19 11:52,9.39,"8,996",0.125
29,Phyllospadix,Control,6/16/19 12:07,9.48,"34,611",0.125
29,Phyllospadix,Control,6/16/19 12:22,9.69,"13,691",0.125
29,Phyllospadix,Control,6/16/19 12:37,9.56,"5,998",0.125
29,Phyllospadix,Control,6/16/19 12:52,9.61,"2,138",0.125
29,Phyllospadix,Control,6/16/19 13:07,9.74,"5,537",0.125
29,Phyllospadix,Control,6/16/19 13:22,9.86,"8,776",0.125
29,Phyllospadix,Control,6/16/19 13:37,9.82,"4,838",0.125
29,Phyllospadix,Control,6/16/19 13:52,9.99,"2,629",0.125
29,Phyllospadix,Control,6/16/19 14:07,9.99,"11,141",0.125
29,Phyllospadix,Control,6/16/19 14:22,9.99,"11,756",0.125
29,Phyllospadix,Control,6/16/19 14:37,10.04,"14,321",0.125
29,Phyllospadix,Control,6/16/19 14:52,10.29,"7,813",0.125
29,Phyllospadix,Control,6/16/19 15:07,10.38,"1,100",0.125
29,Phyllospadix,Control,6/16/19 15:22,10.59,"7,281",0.125
29,Phyllospadix,Control,6/16/19 15:37,10.64,"16,328",0.125
29,Phyllospadix,Control,6/16/19 15:52,10.81,"28,221",0.125
29,Phyllospadix,Control,6/16/19 16:07,10.89,"7,488",0.125
29,Phyllospadix,Control,6/16/19 16:22,11.15,"7,314",0.125
29,Phyllospadix,Control,6/16/19 16:37,11.41,"5,084",0.125
29,Phyllospadix,Control,6/16/19 16:52,11.71,"6,246",0.125
29,Phyllospadix,Control,6/16/19 17:07,11.88,"4,170",0.125
29,Phyllospadix,Control,6/16/19 17:22,12.18,"5,302",0.125
29,Phyllospadix,Control,6/16/19 17:37,12.65,"6,564",0.125
29,Phyllospadix,Control,6/16/19 17:52,12.95,"13,235",0.125
29,Phyllospadix,Control,6/16/19 18:07,12.91,"2,235",0.125
29,Phyllospadix,Control,6/16/19 18:22,13,"2,438",0.125
29,Phyllospadix,Control,6/16/19 18:37,13.12,"4,113",0.125
29,Phyllospadix,Control,6/16/19 18:52,13.12,"1,980",0.125
29,Phyllospadix,Control,6/16/19 19:07,13.21,"1,368",0.125
29,Phyllospadix,Control,6/16/19 19:22,13.08,"1,109",0.125
29,Phyllospadix,Control,6/16/19 19:37,11.88,"1,389",0.125
29,Phyllospadix,Control,6/16/19 19:52,11.75,599,0.125
29,Phyllospadix,Control,6/16/19 20:07,11.28,756,0.125
29,Phyllospadix,Control,6/16/19 20:22,10.46,665,0.125
29,Phyllospadix,Control,6/16/19 20:37,10.34,423,0.125
29,Phyllospadix,Control,6/16/19 20:52,10.51,108,0.125
29,Phyllospadix,Control,6/16/19 21:07,10.16,25,0.125
29,Phyllospadix,Control,6/16/19 21:22,9.56,7,0.125
