PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
8,Phyllospadix,Control,6/16/19 0:13,9.99,0,0.125
8,Phyllospadix,Control,6/16/19 0:28,9.78,0,0.125
8,Phyllospadix,Control,6/16/19 0:43,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 0:58,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 1:13,9.44,0,0.125
8,Phyllospadix,Control,6/16/19 1:28,9.26,0,0.125
8,Phyllospadix,Control,6/16/19 1:43,9.22,0,0.125
8,Phyllospadix,Control,6/16/19 1:58,9.18,0,0.125
8,Phyllospadix,Control,6/16/19 2:13,9.22,0,0.125
8,Phyllospadix,Control,6/16/19 2:28,9.31,0,0.125
8,Phyllospadix,Control,6/16/19 2:43,9.39,0,0.125
8,Phyllospadix,Control,6/16/19 2:58,9.44,0,0.125
8,Phyllospadix,Control,6/16/19 3:13,9.52,0,0.125
8,Phyllospadix,Control,6/16/19 3:28,9.56,0,0.125
8,Phyllospadix,Control,6/16/19 3:43,9.61,0,0.125
8,Phyllospadix,Control,6/16/19 3:58,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 4:13,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 4:28,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 4:43,9.69,0,0.125
8,Phyllospadix,Control,6/16/19 4:58,9.65,0,0.125
8,Phyllospadix,Control,6/16/19 5:13,9.78,7,0.125
8,Phyllospadix,Control,6/16/19 5:28,9.78,37,0.125
8,Phyllospadix,Control,6/16/19 5:43,9.78,85,0.125
8,Phyllospadix,Control,6/16/19 5:58,9.82,131,0.125
8,Phyllospadix,Control,6/16/19 6:13,9.95,189,0.125
8,Phyllospadix,Control,6/16/19 6:28,9.99,343,0.125
8,Phyllospadix,Control,6/16/19 6:43,9.99,390,0.125
8,Phyllospadix,Control,6/16/19 6:58,9.99,360,0.125
8,Phyllospadix,Control,6/16/19 7:13,10.04,411,0.125
8,Phyllospadix,Control,6/16/19 7:28,10.08,494,0.125
8,Phyllospadix,Control,6/16/19 7:43,10.16,570,0.125
8,Phyllospadix,Control,6/16/19 7:58,10.34,743,0.125
8,Phyllospadix,Control,6/16/19 8:13,10.51,"1,022",0.125
8,Phyllospadix,Control,6/16/19 8:28,10.72,"2,181",0.125
8,Phyllospadix,Control,6/16/19 8:43,10.94,"5,074",0.125
8,Phyllospadix,Control,6/16/19 8:58,11.19,"10,007",0.125
8,Phyllospadix,Control,6/16/19 9:13,11.67,"9,457",0.125
8,Phyllospadix,Control,6/16/19 9:28,11.88,"5,123",0.125
8,Phyllospadix,Control,6/16/19 9:43,12.74,"12,462",0.125
8,Phyllospadix,Control,6/16/19 9:58,10.89,"16,870",0.125
8,Phyllospadix,Control,6/16/19 10:13,9.69,"11,505",0.125
8,Phyllospadix,Control,6/16/19 10:28,9.69,"26,040",0.125
8,Phyllospadix,Control,6/16/19 10:43,9.61,"17,388",0.125
8,Phyllospadix,Control,6/16/19 10:58,9.65,"34,693",0.125
8,Phyllospadix,Control,6/16/19 11:13,9.86,"46,080",0.125
8,Phyllospadix,Control,6/16/19 11:28,9.82,"15,027",0.125
8,Phyllospadix,Control,6/16/19 11:43,10.08,"21,545",0.125
8,Phyllospadix,Control,6/16/19 11:58,10.08,"23,357",0.125
8,Phyllospadix,Control,6/16/19 12:13,10.16,"15,068",0.125
8,Phyllospadix,Control,6/16/19 12:28,10.16,"3,181",0.125
8,Phyllospadix,Control,6/16/19 12:43,10.34,"25,600",0.125
8,Phyllospadix,Control,6/16/19 12:58,10.25,"29,327",0.125
8,Phyllospadix,Control,6/16/19 13:13,10.46,"19,799",0.125
8,Phyllospadix,Control,6/16/19 13:28,10.59,"45,056",0.125
8,Phyllospadix,Control,6/16/19 13:43,10.59,"18,401",0.125
8,Phyllospadix,Control,6/16/19 13:58,10.55,"17,275",0.125
8,Phyllospadix,Control,6/16/19 14:13,10.55,"25,057",0.125
8,Phyllospadix,Control,6/16/19 14:28,10.38,"5,391",0.125
8,Phyllospadix,Control,6/16/19 14:43,10.55,"3,676",0.125
8,Phyllospadix,Control,6/16/19 14:58,10.77,"29,594",0.125
8,Phyllospadix,Control,6/16/19 15:13,10.77,"24,730",0.125
8,Phyllospadix,Control,6/16/19 15:28,10.98,"26,675",0.125
8,Phyllospadix,Control,6/16/19 15:43,11.02,"10,885",0.125
8,Phyllospadix,Control,6/16/19 15:58,11.24,"14,920",0.125
8,Phyllospadix,Control,6/16/19 16:13,11.41,"19,917",0.125
8,Phyllospadix,Control,6/16/19 16:28,11.75,"17,951",0.125
8,Phyllospadix,Control,6/16/19 16:43,11.92,"13,394",0.125
8,Phyllospadix,Control,6/16/19 16:58,12.05,"12,278",0.125
8,Phyllospadix,Control,6/16/19 17:13,12.31,"5,791",0.125
8,Phyllospadix,Control,6/16/19 17:28,12.7,"6,925",0.125
