Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D1_Ocean_2_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,2,7082019,10:12,0.7,9.43,109.4,52.4,34.5,12.3,18.115,20190710,-56.8,7.878680613,
D_1_2_BC,1,Phyllospadix,Day,Before,Control,Before_Control,2,7082019,10:21,1.2,9.24,96.6,53,34.9,13.3,17.408,20190710,-60.2,7.942980712,
D_2_2_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,2,7082019,10:23,1.2,11.26,133,52.7,34.7,13.6,18.261,20190710,-74.6,8.185419867,
D_3_2_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,2,7082019,10:25,1.1,10.9,128.7,52.8,34.7,13.5,17.745,20190710,-67.5,8.066844749,
D_4_2_BC,4,Phyllospadix,Day,Before,Control,Before_Control,2,7082019,10:27,1.1,10.93,131.1,52.7,34.8,14.5,18.055,20190710,-74.2,8.180266059,
D_5_2_BC,5,Phyllospadix,Day,Before,Control,Before_Control,2,7082019,10:29,1.1,12.18,148,52.9,34.9,14.9,18.168,20190710,-75.7,8.205248101,extra 50 ml
D_6_2_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,2,7082019,10:31,1.1,10.85,131.4,50.8,33.3,15.2,18.23,20190710,-74,8.175308311,extra 10 ml
D_7_2_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,2,7082019,10:28,1.1,9.68,114.2,53,34.9,13.5,17.621,20190710,-63.1,7.991595809,
D_8_2_BC,8,Phyllospadix,Day,Before,Control,Before_Control,2,7082019,10:40,1.1,9.91,119.2,52.7,34.7,14.5,17.916,20190710,-62.1,7.971947717,
D_9_2_BC,9,Mytilus,Day,Before,Control,Before_Control,2,7082019,10:44,1.1,7.97,93.8,53,34.9,13.6,17.789,20190710,-40.5,7.598781653,
D_10_2_BC,10,Mytilus,Day,Before,Removal,Before_Removal,2,7082019,10:47,0.9,8.59,102.7,52.5,34.5,14.1,18.075,20190710,-42.8,7.636707027,
D_11_2_BC,11,Mytilus,Day,Before,Removal,Before_Removal,2,7082019,10:50,0.9,5.93,69.8,52.7,34.7,13.9,18.355,20190710,-25.9,7.342652364,
