Id_code,Salinity_Lab
N_2_3_BC,31.33
N_3_3_BC,31.35
N_4_3_BC,31.34
N_5_3_BC,31.45
N_6_3_BC,31.44
N_7_3_BC,31.31
N_8_3_BC,31.64
N_9_3_BC,31.59
N_10_3_BC,31.87
N_11_3_BC,31.78
N_12_3_BC,32.28
N_13_3_BC,33.73
N_14_3_BC,33.07
N_15_3_BC,32.37
N_16_3_BC,32.45
N1_Ocean_3_BC,32.43
N_17_3_BC,32.67
N_18_3_BC,32.75
N_19_3_BC,32.63
N_20_3_BC,32.59
N_21_3_BC,32.81
N_22_3_BC,33.72
N_23_3_BC,32.81
N_24_3_BC,33.33
N_25_3_BC,33.34
N_26_3_BC,33.24
N_27_3_BC,33.29
N_28_3_BC,32.91
N_29_3_BC,32.75
N_30_3_BC,34
N_31_3_BC,33.52
N_32_3_BC,32.92
N2_Ocean_4_BC,31.5
N_1_4_BC,31.51
N_2_4_BC,31.41
N_3_4_BC,31.45
N_4_4_BC,32.95
N_5_4_BC,31.48
N_6_4_BC,31.44
N_7_4_BC,31.37
N_8_4_BC,31.6
N_9_4_BC,31.69
N_10_4_BC,31.65
N_11_4_BC,31.88
N_12_4_BC,31.89
N_13_4_BC,32.41
N_14_4_BC,32.4
N_15_4_BC,32.48
N_16_4_BC,33.1
N1_Ocean_4_BC,32.03
N_17_4_BC,32.76
N_18_4_BC,32.69
N_19_4_BC,32.84
N_20_4_BC,32.6
N_21_4_BC,32.8
N_22_4_BC,32.92
N_23_4_BC,32.8
N_24_4_BC,32.76
N_25_4_BC,33.34
N_26_4_BC,33.28
N_27_4_BC,32.78
N_28_4_BC,33.37
N_29_4_BC,33.26
N_30_4_BC,32.76
N_31_4_BC,32.89
N_32_4_BC,33.51
N2_Ocean_5_BC,
N_17_5_BC,32.76
N_18_5_BC,32.63
N_19_5_BC,32.64
N_20_5_BC,32.61
N_21_5_BC,32.62
N_22_5_BC,32.96
N_23_5_BC,32.83
N_24_5_BC,33.3
N_25_5_BC,32.77
N_26_5_BC,32.74
N_27_5_BC,32.77
N_28_5_BC,32.93
N_29_5_BC,33.26
N_30_5_BC,32.75
N_31_5_BC,33.6
N_32_5_BC,33.53
D1_Ocean_1_AI,32.81
D_1_1_AI,33.08
D_2_1_AI,32.97
D_3_1_AI,32.91
D_4_1_AI,32.9
D_5_1_AI,33.08
D_6_1_AI,33.05
D_7_1_AI,33.07
D_8_1_AI,33.07
D_9_1_AI,33.01
D_10_1_AI,33
D_11_1_AI,33.14
D_12_1_AI,33.17
D_13_1_AI,33.73
D_14_1_AI,33.89
D_15_1_AI,34.55
D_16_1_AI,33.87
D2_Ocean_1_AI,33.74
D_17_1_AI,34.01
D_18_1_AI,34.01
D_19_1_AI,34.13
D_20_1_AI,33.91
D_21_1_AI,33.9
D_22_1_AI,34.31
D_23_1_AI,34.29
D_24_1_AI,34.76
D_25_1_AI,34.77
D_26_1_AI,34.22
D_27_1_AI,34.25
D_28_1_AI,34.17
D_29_1_AI,34.17
D_30_1_AI,34.64
D_31_1_AI,34.31
D_32_1_AI,34.34
D1_Ocean_2_AI,32.9
D_1_2_AI,32.98
D_2_2_AI,32.86
D_3_2_AI,32.89
D_4_2_AI,33.01
D_5_2_AI,32.98
D_6_2_AI,32.92
D_7_2_AI,33.1
D_8_2_AI,33.04
D_9_2_AI,32.99
D_10_2_AI,33.07
D_11_2_AI,33.23
D_12_2_AI,33.22
D_13_2_AI,33.74
D_14_2_AI,33.86
D_15_2_AI,34.51
D_16_2_AI,33.83
D2_Ocean_2_AI,33.73
D_17_2_AI,33.98
D_18_2_AI,34.06
D_19_2_AI,33.97
D_20_2_AI,34.12
D_21_2_AI,34.19
D_22_2_AI,35.12
D_23_2_AI,35.18
D_24_2_AI,34.16
D_25_2_AI,34.16
D_26_2_AI,34.76
D_27_2_AI,34.83
D_28_2_AI,34.13
D_29_2_AI,34.76
D_30_2_AI,34.7
D_31_2_AI,34.96
D_32_2_AI,34.36
D1_Ocean_3_AI,32.95
D_1_3_AI,33.06
D_2_3_AI,32.97
D_3_3_AI,32.88
D_4_3_AI,32.91
D_5_3_AI,32.98
D_6_3_AI,32.93
D_7_3_AI,32.95
D_8_3_AI,32.97
D_9_3_AI,33.07
D_10_3_AI,33.05
D_11_3_AI,33.22
D_12_3_AI,33.19
D_13_3_AI,33.72
D_14_3_AI,33.81
D_15_3_AI,33.79
D_16_3_AI,33.84
D2_Ocean_3_AI,33.81
D_17_3_AI,34.07
D_18_3_AI,34.05
D_19_3_AI,33.95
D_20_3_AI,34.14
D_21_3_AI,34.02
D_22_3_AI,34.93
D_23_3_AI,34.28
D_24_3_AI,34.17
D_25_3_AI,34.17
D_26_3_AI,34.19
D_27_3_AI,34.25
D_28_3_AI,34.12
D_29_3_AI,34.75
D_30_3_AI,34.68
D_31_3_AI,34.95
D_32_3_AI,35.02
D1_Ocean_4_AI,32.89
D_1_4_AI,33.07
D_2_4_AI,32.92
D_3_4_AI,32.98
D_4_4_AI,32.98
D_5_4_AI,32.96
D_6_4_AI,33
D_7_4_AI,33.07
D_8_4_AI,33.12
D_9_4_AI,33.09
D_10_4_AI,33.05
D_11_4_AI,33.22
