Date_Run,Id_code,TA_Run,TA_Raw,CRM_off
9/4/19,D_6_5_BC,1,1939.047416,0.537981023
9/4/19,N_6_1_BC,1,2282.920596,0.537981023
9/4/19,N_6_2_BC,1,2308.240054,0.537981023
9/4/19,N_6_3_BC,1,2417.966646,0.537981023
9/4/19,N_6_4_BC,1,2457.133305,0.537981023
9/4/19,D_6_1_AI,1,2185.632867,0.537981023
9/4/19,D_6_2_AI,1,2148.567787,0.537981023
9/4/19,D_6_3_AI,1,2038.229501,0.537981023
9/4/19,D_6_4_AI,1,1936.951687,0.537981023
9/4/19,N_6_1_AI,1,2340.232826,0.537981023
9/4/19,N_6_2_AI,1,2392.539525,0.537981023
9/4/19,N_6_3_AI,1,2435.790809,0.537981023
9/4/19,N_6_4_AI,1,2509.405882,0.537981023
9/5/19,D_7_1_BC,1,2232.383883,0.544759247
9/5/19,D_7_2_BC,1,2274.87874,0.544759247
9/5/19,D_7_3_BC,1,2277.369093,0.544759247
9/5/19,D_7_4_BC,1,2274.08177,0.544759247
9/5/19,D_7_5_BC,1,2293.39781,0.544759247
9/5/19,N_7_1_BC,1,2208.775673,0.544759247
9/5/19,N_7_2_BC,1,2318.794247,0.544759247
9/5/19,N_7_3_BC,1,2404.007536,0.544759247
9/5/19,N_7_4_BC,1,2472.441891,0.544759247
9/5/19,D_7_1_AI,1,2224.155373,0.544759247
9/5/19,D_7_2_AI,1,2203.219278,0.544759247
9/5/19,D_7_3_AI,1,2148.261117,0.544759247
9/5/19,D_7_4_AI,1,2099.84576,0.544759247
9/5/19,N_7_1_AI,1,2226.356711,0.544759247
9/5/19,N_7_2_AI,1,2256.138314,0.544759247
9/5/19,N_7_3_AI,1,2295.061907,0.544759247
9/5/19,N_7_4_AI,1,2326.023391,0.544759247
9/5/19,D_8_1_BC,1,2206.941693,0.544759247
9/5/19,D_8_2_BC,1,2168.333607,0.544759247
9/5/19,D_8_3_BC,1,2152.98662,0.544759247
9/5/19,D_8_4_BC,1,2116.81522,0.544759247
9/5/19,D_8_5_BC,1,2084.92764,0.544759247
9/5/19,N_8_1_BC,1,2189.348503,0.544759247
9/5/19,N_8_2_BC,1,2277.416729,0.544759247
9/5/19,N_8_3_BC,1,2292.459234,0.544759247
9/5/19,N_8_4_BC,1,2339.850383,0.544759247
9/5/19,D_8_1_AI,1,2252.473337,0.544759247
9/5/19,D_8_2_AI,1,2296.127021,0.544759247
9/5/19,D_8_3_AI,1,2358.868043,0.544759247
9/5/19,D_8_4_AI,1,2313.769706,0.544759247
9/5/19,N_8_1_AI,1,2236.22918,0.544759247
9/5/19,N_8_2_AI,1,2321.149863,0.544759247
9/5/19,N_8_3_AI,1,2380.820341,0.544759247
9/5/19,N_8_4_AI,1,2434.077732,0.544759247
9/7/19,D_9_1_BC,1,2112.656076,0.267242737
9/7/19,D_9_2_BC,1,2108.475794,0.267242737
9/7/19,D_9_3_BC,1,2062.276275,0.267242737
9/7/19,D_9_4_BC,1,2084.912519,0.267242737
9/7/19,D_9_5_BC,1,2086.308144,0.267242737
9/7/19,N_9_1_BC,1,2052.51819,0.267242737
9/7/19,N_9_2_BC,1,2146.030386,0.267242737
9/7/19,N_9_3_BC,1,2222.410084,0.267242737
9/7/19,N_9_4_BC,1,2285.824025,0.267242737
9/7/19,D_9_1_AI,1,2186.323687,0.267242737
9/7/19,D_9_2_AI,1,2109.200362,0.267242737
9/7/19,D_9_3_AI,1,2143.193873,0.267242737
9/7/19,D_9_4_AI,1,2147.906714,0.267242737
9/7/19,N_9_1_AI,1,2179.377445,0.267242737
9/7/19,N_9_2_AI,1,2169.548913,0.267242737
9/7/19,N_9_3_AI,1,2205.002586,0.267242737
9/7/19,N_9_4_AI,1,2237.308337,0.267242737
9/7/19,D_10_1_BC,1,2123.797617,0.267242737
9/7/19,D_10_2_BC,1,2121.652336,0.267242737
9/7/19,D_10_3_BC,1,2097.713056,0.267242737
9/7/19,D_10_4_BC,1,2047.389211,0.267242737
9/7/19,D_10_5_BC,1,2085.86574,0.267242737
9/7/19,N_10_1_BC,1,2083.576924,0.267242737
9/7/19,N_10_2_BC,1,2160.572112,0.267242737
9/7/19,N_10_3_BC,1,2243.37491,0.267242737
9/7/19,N_10_4_BC,1,2304.472161,0.267242737
9/7/19,D_10_1_AI,1,2196.198872,0.267242737
9/7/19,D_10_2_AI,1,2168.818937,0.267242737
9/7/19,D_10_3_AI,1,2108.033677,0.267242737
9/7/19,D_10_4_AI,1,2112.238578,0.267242737
9/7/19,N_10_1_AI,1,2228.747908,0.267242737
9/7/19,N_10_2_AI,1,2227.996746,0.267242737
9/7/19,N_10_3_AI,1,2264.171471,0.267242737
9/7/19,N_10_4_AI,1,2307.452936,0.267242737
9/8/19,D_11_1_BC,1,2042.966411,0.658535281
9/8/19,D_11_2_BC,1,2037.06884,0.658535281
9/8/19,D_11_3_BC,1,2021.239869,0.658535281
9/8/19,D_11_4_BC,1,2009.668629,0.658535281
9/8/19,D_11_5_BC,1,2055.56375,0.658535281
9/8/19,N_11_1_BC,1,2043.523191,0.658535281
9/8/19,N_11_2_BC,1,2027.647583,0.658535281
9/8/19,N_11_3_BC,1,2047.622227,0.658535281
9/8/19,N_11_4_BC,1,2126.885729,0.658535281
9/8/19,D_11_1_AI,1,2209.289541,0.658535281
9/8/19,D_11_2_AI,1,2174.874618,0.658535281
9/8/19,D_11_3_AI,1,2109.306391,0.658535281
9/8/19,D_11_4_AI,1,2101.319321,0.658535281
9/8/19,N_11_1_AI,1,2182.966767,0.658535281
9/8/19,N_11_2_AI,1,2184.060137,0.658535281
9/8/19,N_11_3_AI,1,2176.876713,0.658535281
9/8/19,N_11_4_AI,1,2214.250549,0.658535281
9/8/19,D_12_1_BC,1,2067.988128,0.658535281
9/8/19,D_12_2_BC,1,1989.822626,0.658535281
9/8/19,D_12_3_BC,1,1902.249138,0.658535281
9/8/19,D_12_4_BC,1,1866.018854,0.658535281
9/8/19,D_12_5_BC,1,1799.743482,0.658535281
9/8/19,N_12_1_BC,1,2051.275486,0.658535281
9/8/19,N_12_2_BC,1,2161.393878,0.658535281
9/8/19,N_12_3_BC,1,2133.654143,0.658535281
9/8/19,N_12_4_BC,1,2097.60161,0.658535281
9/8/19,D_12_1_AI,1,2147.308012,0.658535281
9/8/19,D_12_2_AI,1,2075.298882,0.658535281
9/8/19,D_12_3_AI,1,1987.691028,0.658535281
9/8/19,D_12_4_AI,1,1917.780846,0.658535281
9/8/19,N_12_1_AI,1,2190.268293,0.658535281
9/8/19,N_12_2_AI,1,2190.617886,0.658535281
9/8/19,N_12_3_AI,1,2157.662398,0.658535281
9/8/19,N_12_4_AI,1,2169.636233,0.658535281
11/21/19,D_13_1_BC,1,2010.75941,-0.569820019
11/21/19,D_13_2_BC,1,1960.472093,-0.569820019
11/21/19,D_13_3_BC,1,1895.502442,-0.569820019
11/21/19,D_13_4_BC,1,1864.383986,-0.569820019
11/21/19,D_13_5_BC,1,1844.60606,-0.569820019
11/21/19,N_13_1_BC,1,2022.401074,-0.569820019
12/21/19,N_13_2_BC,2,2030.30866,-0.569820019
11/21/19,N_13_3_BC,1,2067.173429,-0.569820019
11/21/19,N_13_4_BC,1,2102.297907,-0.569820019
11/21/19,D_13_1_AI,1,2094.590593,-0.569820019
11/21/19,D_13_2_AI,1,2020.03489,-0.569820019
11/21/19,D_13_3_AI,1,1960.516527,-0.569820019
11/21/19,D_13_4_AI,1,1889.869451,-0.569820019
11/21/19,N_13_1_AI,1,2060.847702,-0.569820019
11/21/19,N_13_2_AI,1,2097.841717,-0.569820019
11/21/19,N_13_3_AI,1,2138.175064,-0.569820019
11/21/19,N_13_4_AI,1,2170.271402,-0.569820019
11/22/19,D_14_1_BC,1,2121.542855,-0.799098459
12/20/19,D_14_2_BC,2,2164.183779,-0.459038295
11/22/19,D_14_3_BC,1,2168.854126,-0.799098459
11/22/19,D_14_4_BC,1,2190.646486,-0.799098459
11/22/19,D_14_5_BC,1,2170.336163,-0.799098459
11/22/19,N_14_1_BC,1,1992.648,-0.799098459
11/22/19,N_14_2_BC,1,2059.956136,-0.799098459
11/22/19,N_14_3_BC,1,2101.979617,-0.799098459
11/22/19,N_14_4_BC,1,2138.041408,-0.799098459
11/22/19,D_14_1_AI,1,2153.159404,-0.799098459
11/22/19,D_14_2_AI,1,2151.804859,-0.799098459
11/22/19,D_14_3_AI,1,2197.350406,-0.799098459
12/21/19,D_14_4_AI,2,2171.60906,-0.799098459
11/22/19,N_14_1_AI,1,2084.754856,-0.799098459
11/22/19,N_14_2_AI,1,2133.095531,-0.799098459
11/22/19,N_14_3_AI,1,2198.566187,-0.799098459
11/22/19,N_14_4_AI,1,2317.510925,-0.799098459
11/22/19,D_15_1_BC,1,1994.328664,-0.799098459
11/22/19,D_15_2_BC,1,2014.342293,-0.799098459
11/22/19,D_15_3_BC,1,1945.930808,-0.799098459
11/22/19,D_15_4_BC,1,1907.811981,-0.799098459
11/22/19,D_15_5_BC,1,1807.326915,-0.799098459
11/22/19,N_15_1_BC,1,2072.79842,-0.799098459
11/22/19,N_15_2_BC,1,2072.137481,-0.799098459
11/22/19,N_15_3_BC,1,2126.547773,-0.799098459
11/22/19,N_15_4_BC,1,2170.224044,-0.799098459
11/22/19,D_15_1_AI,1,2127.778982,-0.799098459
11/22/19,D_15_2_AI,1,2073.511817,-0.799098459
11/22/19,D_15_3_AI,1,2008.662747,-0.799098459
11/22/19,D_15_4_AI,1,1934.594627,-0.799098459
11/22/19,N_15_1_AI,1,2236.365954,-0.799098459
11/22/19,N_15_2_AI,1,2184.834837,-0.799098459
11/22/19,N_15_3_AI,1,2192.652814,-0.799098459
11/22/19,N_15_4_AI,1,2194.173475,-0.799098459
11/23/19,D_16_1_BC,1,1963.513133,-0.539790416
11/23/19,D_16_2_BC,1,1914.827145,-0.539790416
11/23/19,D_16_3_BC,1,1862.903491,-0.539790416
11/23/19,D_16_4_BC,1,1819.589228,-0.539790416
11/23/19,D_16_5_BC,1,2113.281124,-0.539790416
11/23/19,N_16_1_BC,1,2042.273271,-0.539790416
11/23/19,N_16_2_BC,1,1993.974115,-0.539790416
11/23/19,N_16_3_BC,1,2040.206841,-0.539790416
11/23/19,N_16_4_BC,1,2082.807287,-0.539790416
11/23/19,D_16_1_AI,1,2178.721112,-0.539790416
11/23/19,D_16_2_AI,1,2162.864984,-0.539790416
11/23/19,D_16_3_AI,1,2092.577275,-0.539790416
11/23/19,D_16_4_AI,1,2118.885608,-0.539790416
11/23/19,N_16_1_AI,1,2094.835224,-0.539790416
11/23/19,N_16_2_AI,1,2169.343301,-0.539790416
11/23/19,N_16_3_AI,1,2104.915961,-0.539790416
11/23/19,N_16_4_AI,1,2100.45119,-0.539790416
11/27/19,D_17_1_BC,1,2099.307015,0.547931117
11/27/19,D_17_2_BC,1,1972.652569,0.547931117
11/27/19,D_17_3_BC,1,1837.997159,0.547931117
11/27/19,D_17_4_BC,1,1729.158271,0.547931117
11/27/19,D_17_5_BC,1,1655.813703,0.547931117
11/27/19,N_17_1_BC,1,2188.909018,0.547931117
11/27/19,N_17_2_BC,1,2172.394613,0.547931117
11/27/19,N_17_3_BC,1,2265.12828,0.547931117
11/27/19,N_17_4_BC,1,2358.334811,0.547931117
11/27/19,N_17_5_BC,1,2421.136788,0.547931117
11/27/19,D_17_1_AI,1,2135.767908,0.547931117
11/27/19,D_17_2_AI,1,2073.382036,0.547931117
11/27/19,D_17_3_AI,1,2014.956743,0.547931117
11/27/19,D_17_4_AI,1,1997.994618,0.547931117
11/27/19,N_17_1_AI,1,2245.308126,0.547931117
11/27/19,N_17_2_AI,1,2264.444445,0.547931117
11/27/19,N_17_3_AI,1,2216.889125,0.547931117
11/27/19,N_17_4_AI,1,2234.605062,0.547931117
11/27/19,D_18_1_BC,1,2182.113965,0.547931117
11/27/19,D_18_2_BC,1,2144.424398,0.547931117
11/27/19,D_18_3_BC,1,2099.564243,0.547931117
11/27/19,D_18_4_BC,1,2079.196798,0.547931117
11/27/19,D_18_5_BC,1,2036.75598,0.547931117
11/27/19,N_18_1_BC,1,2166.925643,0.547931117
11/27/19,N_18_2_BC,1,2106.516273,0.547931117
11/27/19,N_18_3_BC,1,2108.486204,0.547931117
11/27/19,N_18_4_BC,1,2132.159507,0.547931117
11/27/19,N_18_5_BC,1,2151.124163,0.547931117
11/27/19,D_18_1_AI,1,2219.606901,0.547931117
11/27/19,D_18_2_AI,1,2204.390706,0.547931117
11/27/19,D_18_3_AI,1,2185.689495,0.547931117
11/27/19,D_18_4_AI,1,2146.010188,0.547931117
11/27/19,N_18_1_AI,1,2162.676496,0.547931117
11/27/19,N_18_2_AI,1,2174.20761,0.547931117
11/27/19,N_18_3_AI,1,2182.920958,0.547931117
11/27/19,N_18_4_AI,1,2201.260312,0.547931117
12/6/19,D_19_1_BC,1,2170.66926,-0.023173626
12/6/19,D_19_2_BC,1,2085.013381,-0.023173626
12/6/19,D_19_3_BC,1,1999.991603,-0.023173626
12/6/19,D_19_4_BC,1,1934.627098,-0.023173626
12/6/19,D_19_5_BC,1,1809.506846,-0.023173626
12/6/19,N_19_1_BC,1,2128.053735,-0.023173626
12/6/19,N_19_2_BC,1,2239.50292,-0.023173626
12/6/19,N_19_3_BC,1,2311.15813,-0.023173626
12/6/19,N_19_4_BC,1,2400.616762,-0.023173626
12/6/19,N_19_5_BC,1,2642.86887,-0.023173626
12/6/19,D_19_1_AI,1,2171.439617,-0.023173626
12/6/19,D_19_2_AI,1,2110.13952,-0.023173626
12/6/19,D_19_3_AI,1,2101.088724,-0.023173626
12/6/19,D_19_4_AI,1,2042.652432,-0.023173626
12/6/19,N_19_1_AI,1,2207.176859,-0.023173626
12/6/19,N_19_2_AI,1,2236.642626,-0.023173626
12/6/19,N_19_3_AI,1,2270.743782,-0.023173626
12/6/19,N_19_4_AI,1,2264.340228,-0.023173626
12/6/19,D_20_1_BC,1,2194.804599,-0.023173626
12/6/19,D_20_2_BC,1,2146.484683,-0.023173626
12/6/19,D_20_3_BC,1,2073.033194,-0.023173626
12/6/19,D_20_4_BC,1,2001.895571,-0.023173626
12/6/19,D_20_5_BC,1,1978.395652,-0.023173626
12/6/19,N_20_1_BC,1,2190.232653,-0.023173626
12/6/19,N_20_2_BC,1,2165.973756,-0.023173626
12/6/19,N_20_3_BC,1,2171.091048,-0.023173626
12/6/19,N_20_4_BC,1,2246.891812,-0.023173626
12/6/19,N_20_5_BC,1,2274.036533,-0.023173626
12/6/19,D_20_1_AI,1,2258.558904,-0.023173626
12/6/19,D_20_2_AI,1,2286.21022,-0.023173626
12/6/19,D_20_3_AI,1,2320.492086,-0.023173626
12/6/19,D_20_4_AI,1,2340.203538,-0.023173626
12/6/19,N_20_1_AI,1,2310.645026,-0.023173626
12/20/19,N_20_2_AI,2,2294.079424,-0.459038295
12/20/19,N_20_3_AI,2,2299.001051,-0.459038295
12/20/19,N_20_4_AI,2,2266.736842,-0.459038295
12/11/19,D_21_1_BC,1,2154.454323,0.226350661
12/11/19,D_21_2_BC,1,2094.265383,0.226350661
12/11/19,D_21_3_BC,1,2033.119691,0.226350661
12/11/19,D_21_4_BC,1,1991.405636,0.226350661
12/11/19,D_21_5_BC,1,2040.093927,0.226350661
12/11/19,N_21_1_BC,1,2225.407453,0.226350661
12/11/19,N_21_2_BC,1,2216.309001,0.226350661
12/11/19,N_21_3_BC,1,2231.396624,0.226350661
12/11/19,N_21_4_BC,1,2276.259186,0.226350661
12/11/19,N_21_5_BC,1,2303.017815,0.226350661
12/11/19,D_21_1_AI,1,1989.145516,0.226350661
12/11/19,D_21_2_AI,1,1843.137911,0.226350661
12/11/19,D_21_3_AI,1,1773.635804,0.226350661
12/11/19,D_21_4_AI,1,1594.146236,0.226350661
12/11/19,N_21_1_AI,1,2283.340764,0.226350661
12/11/19,N_21_2_AI,1,2315.883792,0.226350661
12/11/19,N_21_3_AI,1,2358.210334,0.226350661
12/11/19,N_21_4_AI,1,2351.884636,0.226350661
12/12/19,D_22_1_BC,1,2226.306083,0.032092078
12/12/19,D_22_2_BC,1,2221.260358,0.032092078
12/20/19,D_22_3_BC,2,2144.536872,-0.459038295
12/12/19,D_22_4_BC,1,2213.390574,0.032092078
12/12/19,D_22_5_BC,1,2265.402138,0.032092078
12/12/19,N_22_1_BC,1,2245.764336,0.032092078
12/12/19,N_22_2_BC,1,2219.926782,0.032092078
12/12/19,N_22_3_BC,1,2287.280821,0.032092078
12/12/19,N_22_4_BC,1,2315.892403,0.032092078
12/12/19,N_22_5_BC,1,2372.760137,0.032092078
12/12/19,D_22_1_AI,1,2075.799256,0.032092078
12/12/19,D_22_2_AI,1,2001.679175,0.032092078
12/19/19,D_22_3_AI,2,1899.555554,-0.161061825
12/12/19,D_22_4_AI,1,1786.703843,0.032092078
12/12/19,N_22_1_AI,1,2231.763672,0.032092078
12/12/19,N_22_2_AI,1,2329.305396,0.032092078
12/12/19,N_22_3_AI,1,2370.777876,0.032092078
12/20/19,N_22_4_AI,2,2369.678585,-0.459038295
12/12/19,D_23_1_BC,1,2046.322923,0.032092078
12/12/19,D_23_2_BC,1,1909.281724,0.032092078
12/12/19,D_23_3_BC,1,1783.188992,0.032092078
12/12/19,D_23_4_BC,1,1699.595107,0.032092078
12/12/19,D_23_5_BC,1,1591.814797,0.032092078
12/12/19,N_23_1_BC,1,1972.774772,0.032092078
12/12/19,N_23_2_BC,1,2007.668622,0.032092078
12/12/19,N_23_3_BC,1,2049.596173,0.032092078
12/12/19,N_23_4_BC,1,2180.797945,0.032092078
12/12/19,N_23_5_BC,1,2105.420978,0.032092078
12/12/19,D_23_1_AI,1,2144.643497,0.032092078
12/12/19,D_23_2_AI,1,2095.689483,0.032092078
12/12/19,D_23_3_AI,1,2016.841083,0.032092078
12/12/19,D_23_4_AI,1,1926.340636,0.032092078
12/12/19,N_23_1_AI,1,2215.564619,0.032092078
12/12/19,N_23_2_AI,1,2227.663073,0.032092078
12/12/19,N_23_3_AI,1,2235.634042,0.032092078
12/12/19,N_23_4_AI,1,2191.562089,0.032092078
12/13/19,D_24_1_BC,1,2068.699432,-0.016058326
12/13/19,D_24_2_BC,1,1988.217386,-0.016058326
12/13/19,D_24_3_BC,1,1911.34025,-0.016058326
12/13/19,D_24_4_BC,1,1857.186196,-0.016058326
12/13/19,D_24_5_BC,1,1797.61968,-0.016058326
12/13/19,N_24_1_BC,1,2027.427754,-0.016058326
12/13/19,N_24_2_BC,1,2001.178465,-0.016058326
12/13/19,N_24_3_BC,1,2088.251069,-0.016058326
12/13/19,N_24_4_BC,1,2057.051638,-0.016058326
12/13/19,N_24_5_BC,1,2067.921656,-0.016058326
12/13/19,D_24_1_AI,1,2168.443106,-0.016058326
12/13/19,D_24_2_AI,1,2131.221534,-0.016058326
12/13/19,D_24_3_AI,1,2078.54623,-0.016058326
12/13/19,D_24_4_AI,1,2034.525653,-0.016058326
12/13/19,N_24_1_AI,1,2157.443467,-0.016058326
12/13/19,N_24_2_AI,1,2155.544419,-0.016058326
12/13/19,N_24_3_AI,1,2231.952074,-0.016058326
12/13/19,N_24_4_AI,1,2157.540566,-0.016058326
12/13/19,D_25_1_BC,1,2150.56648,-0.016058326
12/13/19,D_25_2_BC,1,2117.99512,-0.016058326
12/13/19,D_25_3_BC,1,2037.79118,-0.016058326
12/13/19,D_25_4_BC,1,2119.48592,-0.016058326
12/13/19,D_25_5_BC,1,2031.86967,-0.016058326
12/13/19,N_25_1_BC,1,2083.56743,-0.016058326
12/13/19,N_25_2_BC,1,2076.49983,-0.016058326
12/13/19,N_25_3_BC,1,2235.68277,-0.016058326
12/13/19,N_25_4_BC,1,2313.74841,-0.016058326
12/13/19,N_25_5_BC,1,2331.17344,-0.016058326
12/13/19,D_25_1_AI,1,2139.34822,-0.016058326
12/13/19,D_25_2_AI,1,2214.52851,-0.016058326
12/13/19,D_25_3_AI,1,2231.6673,-0.016058326
12/13/19,D_25_4_AI,1,2235.07732,-0.016058326
12/13/19,N_25_1_AI,1,2168.49088,-0.016058326
12/13/19,N_25_2_AI,1,2180.4289,-0.016058326
12/13/19,N_25_3_AI,1,2236.83991,-0.016058326
12/13/19,N_25_4_AI,1,2249.179,-0.016058326
12/16/19,D_26_1_BC,1,2215.625472,-0.207713212
12/16/19,D_26_2_BC,1,2193.714989,-0.207713212
12/16/19,D_26_3_BC,1,2130.497843,-0.207713212
12/16/19,D_26_4_BC,1,2207.03384,-0.207713212
12/16/19,D_26_5_BC,1,2219.892579,-0.207713212
12/16/19,N_26_1_BC,1,2193.567952,-0.207713212
12/16/19,N_26_2_BC,1,2198.883335,-0.207713212
12/16/19,N_26_3_BC,1,2224.439023,-0.207713212
12/16/19,N_26_4_BC,1,2351.087352,-0.207713212
12/16/19,N_26_5_BC,1,2388.285221,-0.207713212
12/16/19,D_26_1_AI,1,2192.108772,-0.207713212
12/16/19,D_26_2_AI,1,2141.17625,-0.207713212
12/16/19,D_26_3_AI,1,2037.663653,-0.207713212
12/16/19,D_26_4_AI,1,1894.159678,-0.207713212
12/16/19,N_26_1_AI,1,2254.499603,-0.207713212
12/16/19,N_26_2_AI,1,2222.256254,-0.207713212
12/16/19,N_26_3_AI,1,2271.810887,-0.207713212
12/16/19,N_26_4_AI,1,2288.961172,-0.207713212
12/16/19,D_27_1_BC,1,2210.413012,-0.207713212
12/16/19,D_27_2_BC,1,2232.894881,-0.207713212
12/16/19,D_27_3_BC,1,2243.966586,-0.207713212
