Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
D_31_4_BC,70.4,93.2,181.8,356
D_32_4_BC,66,17.08,158.8,332
D1_Ocean_5_BC,21.4,7.2,29.4,35.6
D_1_5_BC,24.6,16.5,55.6,89.6
D_2_5_BC,33.6,2.88,14.74,106.6
D_3_5_BC,24.4,0.1916,8.64,145.2
D_4_5_BC,23.4,4.72,23,150.8
D_5_5_BC,22,2.74,37.8,103.8
D_6_5_BC,30.8,18.7,154,193.6
D_7_5_BC,39.6,-2.17,29.2,132.2
D_8_5_BC,71.3,13.4,60.1,303
D_9_5_BC,78,24.6,260,386
D_10_5_BC,144.8,35.4,516,422
D_11_5_BC,91.6,25.4,324,424
D_12_5_BC,74.2,32.6,224,376
D_13_5_BC,94,37.6,306,844
D_14_5_BC,98.6,34.4,280,592
D_15_5_BC,29.8,3.32,50.6,169
D_16_5_BC,69.6,94.8,615,398
D2_Ocean_5_BC,12.46,5.46,47.6,45.2
D_17_5_BC,74.2,12.34,106.2,394
D_18_5_BC,44.4,-1.63,35.2,274
D_19_5_BC,55.6,12.36,121.8,354
D_20_5_BC,41,5.26,28,138.6
D_21_5_BC,36.8,13.54,84.4,212
D_22_5_BC,59.2,21.6,104,202
D_23_5_BC,45.4,64.1,248,336
D_24_5_BC,71.4,24.6,125,624
D_25_5_BC,104.2,20.6,166.8,466
D_26_5_BC,29.6,12.26,44.8,79.2
D_27_5_BC,38.8,-0.257,27.2,138.4
D_28_5_BC,21.2,6.2,21.4,41.8
D_29_5_BC,46.1,-4.74,24.7,93.1
D_30_5_BC,108.8,28.8,354,540
D_31_5_BC,90.8,31.8,232,464
D_32_5_BC,76.2,23.6,218,362
N2_Ocean_1_BC,18.92,4.52,14.22,135.6
N_1_1_BC,13.52,5.48,7.77,137.6
N_2_1_BC,14.92,4.68,4.62,69.2
N_3_1_BC,17.12,14.04,21.2,158.2
N_4_1_BC,10.64,6.18,12.06,77.2
N_5_1_BC,16.24,-1.57,15.92,117.4
N_6_1_BC,12.22,11.9,15.2,131.8
N_7_1_BC,20.6,10.08,22.4,136.6
N_8_1_BC,31.5,-2.98,7.95,320
N_9_1_BC,19.36,5.04,27,194
N_10_1_BC,32.4,5.54,69.2,372
N_11_1_BC,21.2,6.08,65.6,452
N_12_1_BC,22.8,8.54,47.2,300
N_13_1_BC,30.2,-2,54.6,442
N_14_1_BC,31,5.06,53.4,358
N_15_1_BC,26.8,6.26,29.4,348
N_16_1_BC,22.4,23.8,95.6,288
