"","PoolID","Removal_Control","Foundation_spp","Functional_Group","Deltacover","Mytilusdelta","Phyllodelta","SAVav","THav","SAav","Vav","Depthav"
"1","9","Control","Mytilus","Anemone",0.149580665834888,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"2","9","Control","Mytilus","ArticulatedCorallines",0.274385323173569,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"3","9","Control","Mytilus","CorticatedFoliose",0.467445314622556,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"4","9","Control","Mytilus","CorticatedMacro",-0.611361419705347,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"5","9","Control","Mytilus","Crustose",-1.16433066853427,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"6","9","Control","Mytilus","Filamentous",2.49826496682687,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"7","9","Control","Mytilus","FoiloseAlgae",0.0834421707832967,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"8","9","Control","Mytilus","LeatheryMacro",0.0666318700234322,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"9","9","Control","Mytilus","Microalgae",5.70813019867403,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"10","9","Control","Mytilus","SuspensionFeeder",-0.590924251898157,-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34
"11","10","Removal","Mytilus","Anemone",3.81453098244406,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"12","10","Removal","Mytilus","ArticulatedCorallines",-0.0421371987190292,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"13","10","Removal","Mytilus","CorticatedFoliose",0.513285024154589,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"14","10","Removal","Mytilus","CorticatedMacro",-12.1411518803776,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"15","10","Removal","Mytilus","Crustose",-1.51427250024631,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"16","10","Removal","Mytilus","Filamentous",-0.463509185909321,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"17","10","Removal","Mytilus","FoiloseAlgae",-0.0337097589752233,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"18","10","Removal","Mytilus","LeatheryMacro",0,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"19","10","Removal","Mytilus","Microalgae",74.8792270531401,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"20","10","Removal","Mytilus","SuspensionFeeder",0.488608299928916,78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215
"21","11","Removal","Mytilus","Anemone",0.826195700903707,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"22","11","Removal","Mytilus","ArticulatedCorallines",-0.0160449257922182,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"23","11","Removal","Mytilus","CorticatedFoliose",0,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"24","11","Removal","Mytilus","CorticatedMacro",-9.62695547533093,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"25","11","Removal","Mytilus","Crustose",-1.00298482810693,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"26","11","Removal","Mytilus","Filamentous",-0.72202166064982,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"27","11","Removal","Mytilus","FoiloseAlgae",-0.0802246289610911,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"28","11","Removal","Mytilus","LeatheryMacro",0,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"29","11","Removal","Mytilus","Microalgae",87.9411764705882,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"30","11","Removal","Mytilus","SuspensionFeeder",-0.242296076071824,98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3
"31","12","Control","Mytilus","Anemone",0.401540781684505,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"32","12","Control","Mytilus","ArticulatedCorallines",0.696447827697287,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"33","12","Control","Mytilus","CorticatedFoliose",3.58230036734141,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"34","12","Control","Mytilus","CorticatedMacro",-0.00518346505837042,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"35","12","Control","Mytilus","Crustose",-4.6494234379743,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"36","12","Control","Mytilus","Filamentous",0,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"37","12","Control","Mytilus","FoiloseAlgae",0.379538148769729,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
"38","12","Control","Mytilus","LeatheryMacro",0,-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225
